Date,IPC
2017-01-01,99.4
2017-02-01,99.5
2017-03-01,99.3
2017-04-01,99.3
2017-05-01,99.7
2017-06-01,100.0
2017-07-01,99.5
2017-08-01,99.8
2017-09-01,100.6
2017-10-01,100.5
2017-11-01,101.0
2017-12-01,101.2
2018-01-01,101.4
2018-02-01,100.9
2018-03-01,101.0
2018-04-01,101.5
2018-05-01,102.1
2018-06-01,102.4
2018-07-01,101.4
2018-08-01,101.4
2018-09-01,101.8
2018-10-01,101.6
2018-11-01,102.1
2018-12-01,101.4
2019-01-01,100.9
2019-02-01,100.9
2019-03-01,100.9
2019-04-01,101.5
2019-05-01,102.4
2019-06-01,102.6
2019-07-01,101.7
2019-08-01,102.1
2019-09-01,101.9
2019-10-01,102.1
2019-11-01,102.5
2019-12-01,102.5
2020-01-01,102.3
2020-02-01,102.1
2020-03-01,102.5
2020-04-01,102.4
2020-05-01,102.2
2020-06-01,101.9
2020-07-01,101.6
2020-08-01,103.0
2020-09-01,103.3
2020-10-01,103.4
2020-11-01,102.7
2020-12-01,102.2
2021-01-01,102.3
2021-02-01,102.4
2021-03-01,102.6
2021-04-01,103.8
2021-05-01,104.1
2021-06-01,103.4
2021-07-01,103.8
2021-08-01,103.8
2021-09-01,104.5
2021-10-01,105.2
2021-11-01,105.4
2021-12-01,105.5
2022-01-01,105.5
2022-02-01,106.1
2022-03-01,108.0
2022-04-01,109.9
2022-05-01,110.2
2022-06-01,110.8
2022-07-01,111.8
2022-08-01,112.1
2022-09-01,113.2
2022-10-01,113.7
2022-11-01,114.2
2022-12-01,114.3
2023-01-01,114.9
2023-02-01,116.8
2023-03-01,116.9
2023-04-01,118.5
2023-05-01,118.0
2023-06-01,116.9
2023-07-01,117.3
2023-08-01,117.7
2023-09-01,118.7
2023-10-01,118.6
2023-11-01,118.3
2023-12-01,118.2
2024-01-01,117.5
2024-02-01,117.2
2024-03-01,118.0
2024-04-01,118.7
2024-05-01,118.5
2024-06-01,119.0
2024-07-01,118.8
2024-08-01,119.7
2024-09-01,119.7
2024-10-01,119.4
2024-11-01,119.2
2024-12-01,119.0
2025-01-01,119.9
2025-02-01,120.3
2025-03-01,119.9
2025-04-01,119.5
2025-05-01,119.0
2025-06-01,119.5
2025-07-01,119.4
2025-08-01,120.0
2025-09-01,120.2
2025-10-01,119.5
2025-11-01,118.8
2025-12-01,118.7
2026-01-01,119.0
2026-02-01,119.6
2026-03-01,121.0
2026-04-01,121.5
2026-05-01,120.4
