Mois,IPC
2026M5,120.4
2026M4,121.5
2026M3,121.0
2026M2,119.6
2026M1,119.0
2025M12,118.7
2025M11,118.8
2025M10,119.5
2025M9,120.2
2025M8,120.0
2025M7,119.4
2025M6,119.5
2025M5,119.0
2025M4,119.5
2025M3,119.9
2025M2,120.3
2025M1,119.9
2024M12,119.0
2024M11,119.2
2024M10,119.4
2024M9,119.7
2024M8,119.7
2024M7,118.8
2024M6,119
2024M5,118.5
2024M4,118.7
2024M3,118
2024M2,117.2
2024M1,117.5
2023M12,118.2
2023M11,118.3
2023M10,118.6
2023M9,118.7
2023M8,117.7
2023M7,117.3
2023M6,116.9
2023M5,118
2023M4,118.5
2023M3,116.9
2023M2,116.8
2023M1,114.9
2022M12,114.3
2022M11,114.2
2022M10,113.7
2022M9,113.2
2022M8,112.1
2022M7,111.8
2022M6,110.8
2022M5,110.2
2022M4,109.9
2022M3,108
2022M2,106.1
2022M1,105.5
2021M12,105.5
2021M11,105.4
2021M10,105.2
2021M9,104.5
2021M8,103.8
2021M7,103.8
2021M6,103.4
2021M5,104.1
2021M4,103.8
2021M3,102.6
2021M2,102.4
2021M1,102.3
2020M12,102.2
2020M11,102.7
2020M10,103.4
2020M9,103.3
2020M8,103
2020M7,101.6
2020M6,101.9
2020M5,102.2
2020M4,102.4
2020M3,102.5
2020M2,102.1
2020M1,102.3
2019M12,102.5
2019M11,102.5
2019M10,102.1
2019M9,101.9
2019M8,102.1
2019M7,101.7
2019M6,102.6
2019M5,102.4
2019M4,101.5
2019M3,100.9
2019M2,100.9
2019M1,100.9
2018M12,101.4
2018M11,102.1
2018M10,101.6
2018M9,101.8
2018M8,101.4
2018M7,101.4
2018M6,102.4
2018M5,102.1
2018M4,101.5
2018M3,101
2018M2,100.9
2018M1,101.4
2017M12,101.2
2017M11,101
2017M10,100.5
2017M9,100.6
2017M8,99.8
2017M7,99.5
2017M6,100
2017M5,99.7
2017M4,99.3
2017M3,99.3
2017M2,99.5
2017M1,99.4
