Date,PIB
2014-01-01,245477
2014-02-01,245477
2014-03-01,245477
2014-04-01,250854
2014-05-01,250854
2014-06-01,250854
2014-07-01,251726
2014-08-01,251726
2014-09-01,251726
2014-10-01,253397
2014-11-01,253397
2014-12-01,253397
2015-01-01,264407
2015-02-01,264407
2015-03-01,264407
2015-04-01,268539
2015-05-01,268539
2015-06-01,268539
2015-07-01,271208
2015-08-01,271208
2015-09-01,271208
2015-10-01,273965
2015-11-01,273965
2015-12-01,273965
2016-01-01,268760
2016-02-01,268760
2016-03-01,268760
2016-04-01,270757
2016-05-01,270757
2016-06-01,270757
2016-07-01,276106
2016-08-01,276106
2016-09-01,276106
2016-10-01,278627
2016-11-01,278627
2016-12-01,278627
2017-01-01,284168
2017-02-01,284168
2017-03-01,284168
2017-04-01,287362
2017-05-01,287362
2017-06-01,287362
2017-07-01,287526
2017-08-01,287526
2017-09-01,287526
2017-10-01,289839
2017-11-01,289839
2017-12-01,289839
2018-01-01,295512
2018-02-01,295512
2018-03-01,295512
2018-04-01,298553
2018-05-01,298553
2018-06-01,298553
2018-07-01,300025
2018-08-01,300025
2018-09-01,300025
2018-10-01,301147
2018-11-01,301147
2018-12-01,301147
2019-01-01,304983
2019-02-01,304983
2019-03-01,304983
2019-04-01,314549
2019-05-01,314549
2019-06-01,314549
2019-07-01,311842
2019-08-01,311842
2019-09-01,311842
2019-10-01,308462
2019-11-01,308462
2019-12-01,308462
2020-01-01,302278
2020-02-01,302278
2020-03-01,302278
2020-04-01,267726
2020-05-01,267726
2020-06-01,267726
2020-07-01,285802
2020-08-01,285802
2020-09-01,285802
2020-10-01,296673
2020-11-01,296673
2020-12-01,296673
2021-01-01,312238
2021-02-01,312238
2021-03-01,312238
2021-04-01,312579
2021-05-01,312579
2021-06-01,312579
2021-07-01,321314
2021-08-01,321314
2021-09-01,321314
2021-10-01,330432
2021-11-01,330432
2021-12-01,330432
2022-01-01,320674
2022-02-01,320674
2022-03-01,320674
2022-04-01,330598
2022-05-01,330598
2022-06-01,330598
2022-07-01,338401
2022-08-01,338401
2022-09-01,338401
2022-10-01,343866
2022-11-01,343866
2022-12-01,343866
2023-01-01,358578
2023-02-01,358578
2023-03-01,358578
2023-04-01,365163
2023-05-01,365163
2023-06-01,365163
2023-07-01,375313
2023-08-01,375313
2023-09-01,375313
2023-10-01,380710
2023-11-01,380710
2023-12-01,380710
2024-01-01,383108
2024-02-01,383108
2024-03-01,383108
2024-04-01,390419
2024-05-01,390419
2024-06-01,390419
2024-07-01,407904
2024-08-01,407904
2024-09-01,407904
2024-10-01,415368
2024-11-01,415368
2024-12-01,415368
2025-01-01,409669
2025-02-01,409669
2025-03-01,409669
2025-04-01,420816
2025-05-01,420816
2025-06-01,420816
2025-07-01,431008
2025-08-01,431008
2025-09-01,431008
2025-10-01,443762
2025-11-01,443762
2025-12-01,443762
