Quarter,PIB
2025T4,443762
2025T3,431008
2025T2,420816
2025T1,409669
2024T4,415368
2024T3,407904
2024T2,390419
2024T1,383108
2023T4,380710
2023T3,375313
2023T2,365163
2023T1,358578
2022T4,343866
2022T3,338401
2022T2,330598
2022T1,320674
2021T4,330432
2021T3,321314
2021T2,312579
2021T1,312238
2020T4,296673
2020T3,285802
2020T2,267726
2020T1,302278
2019T4,308462
2019T3,311842
2019T2,314549
2019T1,304983
2018T4,301147
2018T3,300025
2018T2,298553
2018T1,295512
2017T4,289839
2017T3,287526
2017T2,287362
2017T1,284168
2016T4,278627
2016T3,276106
2016T2,270757
2016T1,268760
2015T4,273965
2015T3,271208
2015T2,268539
2015T1,264407
2014T4,253397
2014T3,251726
2014T2,250854
2014T1,245477
