Date d'échéance;Transaction;Taux moyen pondéré;Date de la valeur;;
17/11/2025;0;2,090 %;15/09/2025; 63,00 ;2,09
19/01/2026;0;2,100 %;15/09/2025; 126,00 ;2,10
16/03/2026;0;2,160 %;15/09/2025; 182,00 ;2,16
15/03/2027;0;2,210 %;15/09/2025; 546,00 ;2,21
15/04/2030;0;2,370 %;15/09/2025; 1.673,00 ;2,37
14/10/2030;0;2,410 %;15/09/2025; 1.855,00 ;2,41
18/06/2035;0;2,720 %;15/09/2025; 3.563,00 ;2,72
18/07/2039;0;3,000 %;15/09/2025; 5.054,00 ;3,00
14/08/2045;0;3,290 %;15/09/2025; 7.273,00 ;3,29
19/04/2055;0;3,730 %;15/09/2025; 10.808,00 ;3,73
Total;0;;;;
