Date d'échéance;Transaction;Taux moyen pondéré;Date de la valeur;;;
17/11/2025;0;2,130 %;12/09/2025;; 66,00 ;2,13
19/01/2026;0;2,140 %;12/09/2025;; 129,00 ;2,14
16/03/2026;0;2,180 %;12/09/2025;; 185,00 ;2,18
15/03/2027;0;2,240 %;12/09/2025;; 549,00 ;2,24
15/04/2030;0;2,380 %;12/09/2025;; 1.676,00 ;2,38
14/10/2030;0;2,410 %;12/09/2025;; 1.858,00 ;2,41
18/06/2035;0;2,720 %;12/09/2025;; 3.566,00 ;2,72
18/07/2039;0;3,000 %;12/09/2025;; 5.057,00 ;3,00
14/08/2045;0;3,290 %;12/09/2025;; 7.276,00 ;3,29
19/04/2055;0;3,730 %;12/09/2025;; 10.811,00 ;3,73
Total;0;;;;;
