feature,cible,correlation,p_value
beta0_lag1,beta0_t+1,0.9431665609038454,5.71306320085416e-54
beta0_lag1,beta1_t+1,-0.6937511794180776,3.164215352454692e-17
beta0_lag1,beta2_t+1,-0.4209176019378715,4.224606809735243e-06
beta1_lag1,beta0_t+1,-0.5844293764104407,1.64994358281625e-11
beta1_lag1,beta1_t+1,0.8379784193092833,1.93031089424915e-30
beta1_lag1,beta2_t+1,0.40859937580509603,8.505055119133786e-06
beta2_lag1,beta0_t+1,-0.0976260831277918,0.3080374544867553
beta2_lag1,beta1_t+1,-0.01365210440194957,0.8869123506252777
beta2_lag1,beta2_t+1,0.7668893096398022,9.996491912102128e-23
Taux directeur_lag1,beta0_t+1,0.8656881262212069,1.5365045784281917e-34
Taux directeur_lag1,beta1_t+1,-0.39637915095910137,1.65771728750003e-05
Taux directeur_lag1,beta2_t+1,-0.3916311185675563,2.1334337498238113e-05
IPC_variation,beta0_t+1,-0.15525404851772834,0.10372253823051242
IPC_variation,beta1_t+1,0.1615721152659718,0.09023705953453103
IPC_variation,beta2_t+1,0.3009203740432924,0.001330910240621419
IPC_lag1,beta0_t+1,0.24235685079634137,0.010382850533096684
IPC_lag1,beta1_t+1,0.2721257281834987,0.0038609725963040385
IPC_lag1,beta2_t+1,0.10554743016005058,0.2702417498574692
europe_beta0_lag1,beta0_t+1,0.5270708817036582,2.8017426146879036e-09
europe_beta0_lag1,beta1_t+1,-0.11196435002769073,0.2420222485917072
europe_beta0_lag1,beta2_t+1,-0.10884083351953436,0.25549214936891146
europe_beta1_lag1,beta0_t+1,0.27890164608735685,0.003034692250757897
europe_beta1_lag1,beta1_t+1,0.12402757534479472,0.19465408099330084
europe_beta1_lag1,beta2_t+1,-0.051211280289347516,0.5934888318285904
europe_beta2_lag1,beta0_t+1,-0.16029213604322878,0.09285027883319068
europe_beta2_lag1,beta1_t+1,0.3816964812566567,3.572413623661105e-05
europe_beta2_lag1,beta2_t+1,0.5935117314533903,6.658197049238438e-12
