feature,cible,score
beta0_lag1,beta0_t+1,0.889039442233716
beta0_lag1,beta1_t+1,0.47724018196852713
beta0_lag1,beta2_t+1,0.1721585114452614
beta1_lag1,beta0_t+1,0.3381209821414498
beta1_lag1,beta1_t+1,0.6956737181598578
beta1_lag1,beta2_t+1,0.1510571836309016
beta2_lag1,beta0_t+1,0.00855100028077549
beta2_lag1,beta1_t+1,0.0006932447521118545
beta2_lag1,beta2_t+1,0.5885217093576711
Taux directeur_lag1,beta0_t+1,0.758043608916979
Taux directeur_lag1,beta1_t+1,0.16471868828596348
Taux directeur_lag1,beta2_t+1,0.16516415721694744
IPC_lag1,beta0_t+1,0.07716152409525234
IPC_lag1,beta1_t+1,0.05785981176707111
IPC_lag1,beta2_t+1,0.0025481806987536215
PIB_lag1,beta0_t+1,0.05024617471374082
PIB_lag1,beta1_t+1,0.04524918651811605
PIB_lag1,beta2_t+1,0.016644759432006606
europe_beta0_lag1,beta0_t+1,0.3752567035329688
europe_beta0_lag1,beta1_t+1,0.03778459398400613
europe_beta0_lag1,beta2_t+1,0.04504480225560614
europe_beta1_lag1,beta0_t+1,0.07373595535762134
europe_beta1_lag1,beta1_t+1,0.022496124728499933
europe_beta1_lag1,beta2_t+1,0.0005072564210375496
europe_beta2_lag1,beta0_t+1,0.026435714411884415
europe_beta2_lag1,beta1_t+1,0.15240358174476099
europe_beta2_lag1,beta2_t+1,0.3756490396790362
all_features,beta0_t+1,0.8398046703884287
all_features,beta1_t+1,0.8398046703884287
all_features,beta2_t+1,0.8398046703884287
