cible,feature,importance
beta0,Taux directeur,0.8141443943519512
beta0,IPC,0.019671022158937956
beta0,PIB,0.03606920941055932
beta0,europe_beta0,0.04148690997981154
beta0,europe_beta1,0.04851389483015499
beta0,europe_beta2,0.04011456926858503
beta1,Taux directeur,0.06519794705422473
beta1,IPC,0.25452387423426664
beta1,PIB,0.08738736075673126
beta1,europe_beta0,0.06766717926713207
beta1,europe_beta1,0.22162234421761445
beta1,europe_beta2,0.30360129447003087
beta2,Taux directeur,0.24112884608871565
beta2,IPC,0.06932218017403842
beta2,PIB,0.09492089666573142
beta2,europe_beta0,0.12167745372830698
beta2,europe_beta1,0.10520473675367961
beta2,europe_beta2,0.36774588658952795
