Date,beta0,beta1,beta2,lambda,rmse
2015-02-01,5.862606839158383,-3.3156388208296192,-3.2360844004810896,4.899999999999999,0.07125592888017589
2015-03-01,5.679959969050116,-3.12992598936213,-3.5094350938664687,4.899999999999999,0.11429003663206672
2015-04-01,5.627703189200444,-2.9894132438784204,-3.394656293005652,4.899999999999999,0.12458121425150534
2015-05-01,5.5756316184489005,-2.9138502345227306,-2.485449718925135,4.899999999999999,0.12144343796204632
2015-06-01,5.5647256562802605,-2.9797763428352506,-1.931022211825117,4.899999999999999,0.08728250302572282
2015-07-01,5.680053331301141,-3.182130418373933,-2.2067908875850097,4.899999999999999,0.05760124045251025
2015-08-01,5.691047357108884,-3.18481955068524,-2.491212438896234,4.899999999999999,0.059781077122502226
2015-09-01,5.697821482994657,-3.1480796793858765,-2.5113692377903147,4.899999999999999,0.05855576492042085
2015-10-01,5.664018036944771,-3.0947390514483955,-2.428842626202376,4.899999999999999,0.06534632808454763
2015-11-01,5.671333996481342,-3.088550490507109,-2.483455387234305,4.899999999999999,0.061446675645185536
2015-12-01,5.690650442568051,-3.1205704284893767,-2.504025166065208,4.899999999999999,0.0560591648553274
2016-01-01,5.715573118289276,-3.153245898301831,-2.687154119595404,4.899999999999999,0.057985833541879875
2016-02-01,5.691379428622097,-3.1563977029462844,-2.730311708854276,4.899999999999999,0.05393161165764949
2016-03-01,5.573460935064599,-3.0491496945506738,-3.0811950073149994,4.899999999999999,0.04668188124688381
2016-04-01,5.311382533530273,-2.873603929550501,-2.9432433335804213,4.899999999999999,0.07145023285505535
2016-05-01,5.108875140939253,-2.917412814219295,-3.4253146887591646,4.899999999999999,0.06138802125617228
2016-06-01,5.094254809148716,-3.098602082647627,-3.4157806568614633,4.899999999999999,0.06353628387020327
2016-07-01,4.7652537943365685,-2.9651753498828564,-2.161075560402064,4.899999999999999,0.08737693887964772
2016-08-01,4.720474955515157,-2.5457980845564774,-2.296152228331591,4.899999999999999,0.08902510915923315
2016-09-01,4.627216545472685,-2.347285417762089,-1.7232477650565303,4.899999999999999,0.10285257497861992
2016-10-01,4.763986077997867,-2.5091907786382084,-1.557551347565261,4.899999999999999,0.07875312537582396
2016-11-01,5.0190364567403165,-2.8307188037630406,-2.2697357135124503,4.899999999999999,0.05379458522819498
2016-12-01,4.967110996537841,-2.7743529411858505,-2.3979966224153664,4.899999999999999,0.05823567754926102
2017-01-01,4.898245827544494,-2.6833950410915888,-2.002550488568455,4.899999999999999,0.04804782316980573
2017-02-01,4.729566893261175,-2.468176609607654,-1.380875398724715,4.899999999999999,0.05162078263325847
2017-03-01,4.682222445706525,-2.481941362710185,-1.0481240981566917,4.899999999999999,0.035644407374055755
2017-04-01,4.995166079467858,-2.8486873876507337,-1.7414241812673552,4.899999999999999,0.037077886961193796
2017-05-01,5.000778609791246,-2.826277372188181,-1.767370396211605,4.899999999999999,0.04046668274152538
2017-06-01,5.227396222835453,-3.106612022357223,-1.8845389870403724,4.899999999999999,0.022173531485059485
2017-07-01,5.305214348533844,-3.147299334901289,-2.0322572120921785,4.899999999999999,0.026090716883338545
