Date,beta0,beta1,beta2,Taux directeur,IPC,europe_beta0,europe_beta1,europe_beta2
2017-01-01,4.898245827544494,-2.6833950410915888,-2.002550488568455,2.25,99.4,1.656032103073423,-2.4023948279547667,-3.4236195712568174
2017-02-01,4.729566893261175,-2.468176609607654,-1.380875398724715,2.25,99.5,1.749656800818352,-2.379198741826595,-3.713812235058409
2017-03-01,4.682222445706525,-2.481941362710185,-1.0481240981566915,2.25,99.3,1.79445429352015,-2.4576108604428493,-4.056766583066706
2017-04-01,4.995166079467858,-2.8486873876507337,-1.7414241812673552,2.25,99.3,1.827561358615148,-2.613090064879726,-3.573627874947859
2017-05-01,5.000778609791246,-2.826277372188181,-1.767370396211605,2.25,99.7,1.6456445720500574,-2.343772014822693,-3.5585937018278404
2017-06-01,5.227396222835453,-3.106612022357223,-1.8845389870403724,2.25,100.0,1.8441877302734644,-2.506177895294437,-3.5290333313525224
2017-07-01,5.305214348533844,-3.147299334901289,-2.0322572120921785,2.25,99.5,1.7848861263012938,-2.4198740510716283,-3.462905873591385
2017-08-01,5.29300132531304,-3.051816981370126,-2.040491698984289,2.25,99.8,1.956400460707622,-2.584780408056876,-3.486067963486278
2017-09-01,5.278959958411552,-3.0556613509421893,-1.998949243195267,2.25,100.6,1.80494112996256,-2.445606096482205,-3.5546038660693307
2017-10-01,5.260691432658924,-3.044406552001293,-2.090039468481668,2.25,100.5,1.8701557899298604,-2.566367095345368,-3.5316279633668874
2017-11-01,5.164954530421021,-2.9718228951582093,-2.1560740957294224,2.25,101.0,1.884003990946905,-2.5815232188397115,-3.595025331305955
2017-12-01,5.115481093574306,-2.945589126867283,-1.946020261391604,2.25,101.2,1.8436806399126036,-2.56160991619512,-3.4874390397195887
2018-01-01,5.023737573394383,-2.8067804726694114,-1.737237696256966,2.25,101.4,1.7225184140284178,-2.516092398681133,-3.022836031358907
2018-02-01,4.920095482842811,-2.651202462824115,-1.4047635974841244,2.25,100.9,1.769422994239857,-2.3653677035785403,-3.1369657738166974
2018-03-01,5.100691137386462,-2.839115651909752,-1.908443080428203,2.25,101.0,1.7771872975973009,-2.350196835076586,-3.337783839514867
