feature,cible,score
Taux directeur,beta0,0.8104295958243933
Taux directeur,beta1,0.14653542489236115
Taux directeur,beta2,0.09653092420454801
IPC,beta0,0.06003012016170095
IPC,beta1,0.07300688139216682
IPC,beta2,0.006703428148558177
PIB,beta0,0.043805667235522594
PIB,beta1,0.04396316076267126
PIB,beta2,0.007177087679239302
europe_beta0,beta0,0.3148775740285047
europe_beta0,beta1,0.023055177534964333
europe_beta0,beta2,0.012603674899693273
europe_beta1,beta0,0.11296802143481832
europe_beta1,beta1,0.018672385534985625
europe_beta1,beta2,0.0002680499772431677
europe_beta2,beta0,0.1300426597362595
europe_beta2,beta1,0.37352259760411677
europe_beta2,beta2,0.2923762396099019
