,beta0,beta1,beta2,lambda
2018-04-01,5.087313087811031,-2.8087866930596648,-1.835537430815889,4.672249846874277
2018-05-01,5.084716803973753,-2.7977638738992616,-1.775231006465736,4.5182880131933825
2018-06-01,5.082208091634218,-2.7869283065782695,-1.7188127646250562,4.414207967998865
2018-07-01,5.079783997044802,-2.7762768101272055,-1.6660320195105376,4.343848609781914
2018-08-01,5.077441666086473,-2.7658062576137965,-1.6166542479963053,4.29628484019045
2018-09-01,5.075178340908363,-2.755513575225013,-1.57046004754647,4.2641311617732285
2018-10-01,5.072991356680684,-2.7453957413646983,-1.5272441613336933,4.242394889719139
2018-11-01,5.070878138457172,-2.735449785766526,-1.486814566212033,4.227700909245778
2018-12-01,5.068836198143353,-2.7256727886220267,-1.4489916194916173,4.217767602300859
2019-01-01,5.066863131567073,-2.7160618797234273,-1.413607260723974,4.211052567730013
2019-02-01,5.064956615647833,-2.706614237621052,-1.3805042649512655,4.206513123863262
2019-03-01,5.063114405661604,-2.6973270887950354,-1.3495355441013628,4.2034444053924975
2019-04-01,5.061334332597902,-2.6881977068411094,-1.3205634934246113,4.201369914919823
2019-05-01,5.059614300605997,-2.679223411670218,-1.2934593800682828,4.199967534492223
2019-06-01,5.057952284527274,-2.670401568721731,-1.2681027710719368,4.19901950851205
2019-07-01,5.0563463275108145,-2.6617295881900236,-1.244380998242078,4.198378631584938
2019-08-01,5.054794538709411,-2.6532049242641924,-1.2221886575283603,4.197945391099662
2019-09-01,5.053295091053289,-2.6448250743806896,-1.2014271406768955,4.19765251533812
2019-10-01,5.051846219098926,-2.636587578488651,-1.182004197079638,4.197454527812453
2019-11-01,5.050446216950422,-2.6284900183277067,-1.163833523872992,4.197320685871715
2019-12-01,5.0490934362509865,-2.620530016718056,-1.1468343824643052,4.1972302071153385
2020-01-01,5.047786284242169,-2.612705236862607,-1.130931239782347,4.197169042391409
2020-02-01,5.0465232218885525,-2.6050133816609695,-1.116053432657719,4.197127694304817
2020-03-01,5.0453027620657,-2.597452193035099,-1.102134853841926,4.197099742502618
2020-04-01,5.044123467809219,-2.5900194512664005,-1.0891136582699823,4.197080846749258
2020-05-01,5.042983950622887,-2.58271297434409,-1.0769319882613733,4.197068072993472
2020-06-01,5.041882868843839,-2.5755306173246297,-1.0655357164383479,4.197059437781435
2020-07-01,5.040818926062903,-2.5684702717020387,-1.054874205219238,4.197053600274583
2020-08-01,5.0397908695982085,-2.5615298647889073,-1.0449000818181489,4.197049654049974
2020-09-01,5.03879748902029,-2.554707359107923,-1.03556902775127,4.197046986354833
