Date,beta0,beta1,beta2,lambda,rmse
2004-02-01,6.7,-3.31,-0.49,4.9,0.0
2004-03-01,6.45,-3.44,-1.82,2.3,0.0
2004-04-01,6.44,-3.58,-1.93,2.2,0.0
2004-05-01,6.89,-4.3,0.66,4.9,0.0
2004-06-01,6.93,-4.45,0.66,4.9,0.0
2004-07-01,7.01,-4.65,-1.78,3.2,0.0
2004-08-01,6.97,-4.71,-1.63,3.4,0.0
2004-09-01,7.0,-4.74,-1.98,3.3,0.0
2004-10-01,7.06,-4.78,-1.93,3.5,0.0
2004-11-01,7.01,-4.8,-1.86,3.5,0.0
2004-12-01,7.03,-4.82,-2.12,3.4,0.0
2005-01-01,7.06,-4.72,-1.81,3.7,0.0
2005-02-01,7.0,-4.66,-1.95,3.5,0.0
2005-03-01,7.03,-4.69,-1.99,3.6,0.0
2005-04-01,7.18,-4.82,-1.99,4.0,0.0
2005-05-01,7.08,-4.7,-1.99,4.0,0.0
2005-06-01,7.08,-4.66,-2.23,3.9,0.0
2005-07-01,7.03,-4.58,-1.94,4.1,0.0
2005-08-01,7.04,-4.5,-1.81,4.3,0.0
2005-09-01,6.99,-4.32,-2.47,3.8,0.0
2005-10-01,7.03,-4.34,-1.99,4.2,0.0
2005-11-01,7.18,-4.46,-2.08,4.5,0.0
2005-12-01,7.06,-4.34,-2.04,4.4,0.0
2006-01-01,7.01,-4.26,-1.96,4.4,0.0
2006-02-01,7.03,-4.22,-2.16,4.5,0.0
2006-03-01,6.49,-3.73,-1.69,4.1,0.0
2006-04-01,6.02,-3.27,-1.09,4.2,0.0
2006-05-01,5.95,-3.24,-0.62,4.7,0.0
2006-06-01,5.79,-3.11,-0.44,4.9,0.0
2006-07-01,5.61,-2.98,-0.28,4.9,0.0
2006-08-01,5.66,-3.05,-0.78,4.5,0.0
2006-09-01,5.77,-2.94,-2.13,3.9,0.0
2006-10-01,5.28,-2.63,-1.4,3.9,0.0
2006-11-01,5.32,-2.63,-1.85,4.0,0.0
2006-12-01,4.34,-1.76,-0.43,4.0,0.0
2007-01-01,4.34,-1.77,-0.59,4.9,0.0
2007-02-01,4.33,-1.61,-0.74,4.9,0.0
2007-03-01,4.37,-1.53,-0.98,4.9,0.0
2007-04-01,4.4,-1.48,-1.08,4.9,0.0
2007-05-01,4.33,-1.28,-1.3,4.2,0.0
2007-06-01,4.34,-1.14,-1.16,4.5,0.0
2007-07-01,4.26,-0.91,-1.26,4.1,0.0
2007-08-01,4.46,-1.11,-1.37,4.4,0.0
2007-09-01,4.14,-0.79,-0.13,4.9,0.0
2007-10-01,4.46,-1.07,-1.21,1.2,0.0
2007-11-01,4.65,-1.2,-1.44,1.5,0.0
2007-12-01,4.69,-1.2,-1.88,1.2,0.0
2008-01-01,4.61,-0.8,-1.83,0.9,0.0
2008-02-01,4.84,-1.16,-1.51,1.6,0.0
2008-03-01,5.0,-1.48,-1.4,2.4,0.0
2008-04-01,4.99,-1.51,-1.37,3.0,0.0
2008-05-01,4.91,-1.48,-0.87,3.7,0.0
2008-06-01,4.88,-1.47,-0.73,3.6,0.0
2008-07-01,4.83,-1.44,-0.46,3.5,0.0
2008-08-01,4.78,-1.38,0.24,4.9,0.0
2008-09-01,4.72,-1.33,-0.02,3.3,0.0
2008-10-01,4.62,-1.24,0.93,4.9,0.0
2008-11-01,4.91,-1.26,0.77,4.9,0.0
2008-12-01,4.84,-1.2,0.92,4.9,0.0
2009-01-01,5.0,-1.29,-0.98,2.0,0.0
2009-02-01,5.02,-1.34,-1.02,2.3,0.0
2009-03-01,4.9,-1.24,-1.09,2.2,0.0
2009-04-01,4.87,-1.29,-0.79,3.0,0.0
2009-05-01,4.96,-1.56,-1.58,2.9,0.0
2009-06-01,4.95,-1.65,-1.19,4.0,0.0
2009-07-01,4.89,-1.59,-1.08,3.7,0.0
2009-08-01,4.88,-1.62,-0.96,3.8,0.0
2009-09-01,4.91,-1.65,-1.07,3.6,0.0
2009-10-01,4.89,-1.64,-1.23,3.1,0.0
2009-11-01,4.9,-1.66,-1.12,3.3,0.0
2009-12-01,4.85,-1.59,-0.73,3.6,0.0
2010-01-01,4.85,-1.58,-0.61,3.6,0.0
2010-02-01,4.83,-1.47,-0.76,3.3,0.0
2010-03-01,4.77,-1.28,-0.36,3.8,0.0
2010-04-01,4.66,-1.18,-0.01,3.8,0.0
2010-05-01,4.74,-1.29,-0.0,4.5,0.0
2010-06-01,4.78,-1.38,-0.15,4.7,0.0
2010-07-01,4.77,-1.41,-0.05,4.9,0.0
2010-08-01,4.76,-1.41,-0.21,4.2,0.0
2010-09-01,4.74,-1.39,-0.01,4.5,0.0
2010-10-01,4.73,-1.37,-0.01,4.5,0.0
2010-11-01,4.75,-1.43,0.09,4.9,0.0
2010-12-01,4.78,-1.5,-0.01,4.9,0.0
2011-01-01,4.77,-1.47,-0.01,4.9,0.0
2011-02-01,4.78,-1.47,-0.04,4.9,0.0
2011-03-01,4.76,-1.44,-0.04,4.9,0.0
2011-04-01,4.74,-1.42,-0.02,4.9,0.0
2011-05-01,4.76,-1.46,-0.07,4.9,0.0
2011-06-01,4.75,-1.45,-0.03,4.9,0.0
2011-07-01,4.73,-1.44,-0.01,4.6,0.0
2011-08-01,4.73,-1.45,-0.01,4.6,0.0
2011-09-01,4.74,-1.45,-0.0,4.8,0.0
2011-10-01,4.71,-1.41,0.01,4.7,0.0
2011-11-01,4.7,-1.39,0.0,4.6,0.0
2011-12-01,4.69,-1.34,0.0,4.2,0.0
2012-01-01,4.69,-1.32,-0.01,3.7,0.0
2012-02-01,4.84,-1.41,-0.0,4.7,0.0
2012-03-01,4.81,-1.35,0.0,4.1,0.0
2012-04-01,4.78,-1.31,0.02,3.3,0.0
2012-05-01,4.91,-1.61,-0.01,4.4,0.0
2012-06-01,4.86,-1.53,0.28,4.9,0.0
2012-07-01,4.8,-1.54,-0.02,3.2,0.0
2012-08-01,4.75,-1.46,0.83,4.9,0.0
2012-09-01,4.83,-1.48,1.03,4.9,0.0
2012-10-01,4.87,-1.56,0.04,1.6,0.0
2012-11-01,4.88,-1.59,0.02,1.4,0.0
2012-12-01,4.43,-1.05,2.93,4.9,0.0
2013-01-01,4.54,-1.13,2.9,4.9,0.0
2013-02-01,4.78,-1.1,2.2,4.9,0.0
2013-03-01,4.65,-0.79,2.56,4.9,0.0
2013-04-01,4.69,-0.87,2.89,4.9,0.0
2013-05-01,4.48,-0.69,3.62,4.9,0.0
2013-06-01,4.24,-0.37,3.8,4.9,0.0
2013-07-01,4.36,-0.63,4.21,4.9,0.0
2013-08-01,4.49,-0.91,4.24,4.9,0.0
2013-09-01,4.43,-0.93,4.49,4.9,0.0
2013-10-01,4.37,-0.93,4.85,4.9,0.0
2013-11-01,4.2,-0.79,5.45,4.9,0.0
2013-12-01,4.13,-0.75,5.83,4.9,0.0
2014-01-01,4.12,-0.82,6.09,4.9,0.0
2014-02-01,4.38,-1.29,5.75,4.9,0.0
2014-03-01,4.76,-1.81,4.64,4.9,0.0
2014-04-01,5.24,-2.32,2.98,4.9,0.0
2014-05-01,6.14,-2.98,-2.62,2.4,0.0
2014-06-01,6.11,-2.98,-2.8,2.8,0.0
2014-07-01,6.19,-3.06,-3.08,2.9,0.0
2014-08-01,6.21,-3.11,-3.14,2.9,0.0
2014-09-01,5.93,-2.86,-2.73,2.7,0.0
2014-10-01,5.9,-2.84,-2.94,2.5,0.0
2014-11-01,6.77,-3.91,-3.25,4.9,0.0
2014-12-01,6.35,-3.47,-3.72,4.9,0.0
2015-01-01,6.4,-3.6,-4.01,4.9,0.0
2015-02-01,5.83,-3.28,-3.13,4.9,0.0
2015-03-01,5.67,-3.12,-3.51,4.9,0.0
2015-04-01,5.63,-3.0,-3.41,4.9,0.0
2015-05-01,5.57,-2.92,-2.67,4.9,0.0
2015-06-01,5.6,-3.02,-1.99,4.9,0.0
2015-07-01,5.7,-3.19,-2.31,4.9,0.0
2015-08-01,5.71,-3.2,-2.53,4.9,0.0
2015-09-01,5.72,-3.17,-2.55,4.9,0.0
2015-10-01,5.66,-3.1,-2.42,4.9,0.0
2015-11-01,5.69,-3.11,-2.52,4.9,0.0
2015-12-01,5.71,-3.14,-2.55,4.9,0.0
2016-01-01,5.73,-3.17,-2.69,4.9,0.0
2016-02-01,5.7,-3.17,-2.73,4.9,0.0
2016-03-01,5.59,-3.07,-3.1,4.9,0.0
2016-04-01,5.31,-2.88,-2.9,4.9,0.0
2016-05-01,5.11,-2.92,-3.39,4.9,0.0
2016-06-01,5.14,-3.12,-3.59,4.9,0.0
2016-07-01,4.83,-2.98,-2.42,4.9,0.0
2016-08-01,4.78,-2.59,-2.53,4.9,0.0
2016-09-01,4.67,-2.39,-1.86,4.9,0.0
2016-10-01,4.76,-2.51,-1.56,4.9,0.0
2016-11-01,5.01,-2.82,-2.26,4.9,0.0
2016-12-01,4.96,-2.77,-2.38,4.9,0.0
2017-01-01,4.9,-2.69,-2.02,4.9,0.0
2017-02-01,4.76,-2.51,-1.5,4.9,0.0
2017-03-01,4.67,-2.47,-1.09,4.9,0.0
2017-04-01,4.99,-2.84,-1.75,4.9,0.0
2017-05-01,5.01,-2.84,-1.87,4.9,0.0
2017-06-01,5.24,-3.11,-1.97,4.9,0.0
2017-07-01,5.29,-3.13,-2.06,4.9,0.0
2017-08-01,5.27,-3.03,-2.02,4.9,0.0
2017-09-01,5.27,-3.04,-2.01,4.9,0.0
2017-10-01,5.25,-3.04,-2.08,4.9,0.0
2017-11-01,5.15,-2.96,-2.13,4.9,0.0
2017-12-01,5.09,-2.93,-1.93,4.9,0.0
2018-01-01,5.01,-2.8,-1.73,4.9,0.0
2018-02-01,4.93,-2.66,-1.46,4.9,0.0
2018-03-01,5.09,-2.82,-1.9,4.9,0.0
2018-04-01,5.11,-2.9,-2.02,4.9,0.0
2018-05-01,5.11,-2.88,-2.09,4.9,0.0
2018-06-01,5.11,-2.83,-2.18,4.9,0.0
2018-07-01,5.07,-2.78,-2.07,4.9,0.0
2018-08-01,5.07,-2.75,-2.1,4.9,0.0
2018-09-01,5.04,-2.72,-1.98,4.9,0.0
2018-10-01,4.99,-2.66,-1.87,4.9,0.0
2018-11-01,4.94,-2.6,-1.74,4.9,0.0
2018-12-01,4.96,-2.64,-1.66,4.9,0.0
2019-01-01,4.96,-2.63,-1.65,4.9,0.0
2019-02-01,4.98,-2.63,-1.77,4.9,0.0
2019-03-01,5.06,-2.7,-2.29,4.9,0.0
2019-04-01,5.08,-2.73,-2.62,4.9,0.0
2019-05-01,5.06,-2.71,-2.7,4.9,0.0
2019-06-01,5.0,-2.65,-2.9,4.9,0.0
2019-07-01,4.88,-2.54,-2.74,4.9,0.0
2019-08-01,4.84,-2.5,-2.65,4.9,0.0
2019-09-01,4.77,-2.45,-2.5,4.9,0.0
2019-10-01,4.7,-2.42,-2.31,4.9,0.0
2019-11-01,4.63,-2.34,-2.51,4.9,0.0
2019-12-01,4.48,-2.14,-2.59,4.9,0.0
2020-01-01,4.46,-2.1,-2.77,4.9,0.0
2020-02-01,4.47,-2.08,-3.02,4.9,0.0
2020-03-01,4.23,-1.83,-2.55,4.9,0.0
2020-04-01,4.16,-1.75,-2.34,4.9,0.0
2020-05-01,4.11,-1.76,-2.04,4.9,0.0
2020-06-01,4.04,-1.87,-1.53,4.9,0.0
2020-07-01,3.99,-2.03,-1.44,4.9,0.0
2020-08-01,3.87,-2.27,-1.73,4.9,0.0
2020-09-01,3.85,-2.22,-1.71,4.9,0.0
2020-10-01,3.78,-2.18,-1.42,4.9,0.0
2020-11-01,3.75,-2.2,-1.25,4.9,0.0
2020-12-01,3.84,-2.21,-1.31,4.9,0.0
2021-01-01,3.78,-2.14,-1.1,4.9,0.0
2021-02-01,3.85,-2.37,-1.51,4.9,0.0
2021-03-01,3.82,-2.39,-1.63,4.9,0.0
2021-04-01,3.72,-2.31,-1.4,4.9,0.0
2021-05-01,3.68,-2.26,-1.25,4.9,0.0
2021-06-01,3.71,-2.28,-1.37,4.9,0.0
2021-07-01,3.68,-2.25,-1.31,4.9,0.0
2021-08-01,3.66,-2.21,-1.26,4.9,0.0
2021-09-01,3.61,-2.15,-1.1,4.9,0.0
2021-10-01,3.62,-2.15,-1.11,4.9,0.0
2021-11-01,3.63,-2.15,-1.16,4.9,0.0
2021-12-01,3.71,-2.23,-1.38,4.9,0.0
2022-01-01,3.67,-2.16,-1.43,4.9,0.0
2022-02-01,3.66,-2.09,-1.41,4.9,0.0
2022-03-01,3.6,-2.05,-1.07,4.9,0.0
2022-04-01,3.56,-2.01,-0.88,4.9,0.0
2022-05-01,3.58,-2.0,-0.87,4.9,0.0
2022-06-01,3.57,-1.95,-0.73,4.9,0.0
2022-07-01,3.51,-1.85,-0.57,4.9,0.0
2022-08-01,3.6,-1.88,-0.74,4.9,0.0
2022-09-01,3.75,-1.86,-1.43,4.9,0.0
2022-10-01,3.6,-1.53,-0.86,4.9,0.0
2022-11-01,3.95,-1.71,-0.98,3.2,0.0
2022-12-01,4.06,-1.49,-1.1,4.3,0.0
2023-01-01,3.99,-1.15,-1.28,4.4,0.0
2023-02-01,5.22,-1.95,-1.14,4.9,0.0
2023-03-01,5.26,-2.06,-0.15,4.9,0.0
2023-04-01,5.78,-2.62,-0.33,4.9,0.0
2023-05-01,6.02,-2.83,-0.34,4.9,0.0
2023-06-01,6.09,-2.99,-0.41,4.9,0.0
2023-07-01,6.05,-2.96,-0.84,4.9,0.0
2023-08-01,6.01,-2.92,-1.68,4.9,0.0
2023-09-01,5.92,-2.86,-1.63,4.9,0.0
2023-10-01,5.89,-2.81,-1.55,4.9,0.0
2023-11-01,5.9,-2.9,-1.51,4.9,0.0
2023-12-01,5.93,-2.95,-1.69,4.9,0.0
2024-01-01,5.81,-2.79,-2.11,4.9,0.0
2024-02-01,5.68,-2.59,-2.87,4.9,0.0
2024-03-01,5.31,-2.16,-2.1,4.9,0.0
2024-04-01,5.26,-2.17,-2.06,4.9,0.0
2024-05-01,5.27,-2.16,-2.06,4.9,0.0
2024-06-01,5.22,-2.14,-1.94,4.9,0.0
2024-07-01,5.22,-2.12,-2.04,4.9,0.0
2024-08-01,5.25,-2.48,-2.24,4.9,0.0
2024-09-01,5.11,-2.41,-2.07,4.9,0.0
2024-10-01,5.12,-2.39,-2.69,4.9,0.0
2024-11-01,5.05,-2.27,-2.75,4.9,0.0
2024-12-01,4.92,-2.2,-2.51,4.9,0.0
2025-01-01,4.99,-2.3,-2.45,4.9,0.0
2025-02-01,4.78,-2.24,-2.27,4.9,0.0
2025-03-01,4.72,-2.14,-2.16,4.9,0.0
2025-04-01,4.67,-2.19,-2.18,4.9,0.0
2025-05-01,4.49,-2.2,-2.09,4.9,0.0
2025-06-01,4.53,-2.33,-2.54,4.9,0.0
2025-07-01,4.35,-2.2,-2.15,4.9,0.0
2025-08-01,4.43,-2.24,-2.44,4.9,0.0
2025-09-01,4.39,-2.2,-2.39,4.9,0.0
2025-10-01,4.33,-2.16,-2.15,4.9,0.0
2025-11-01,4.33,-2.09,-1.94,4.9,0.0
2025-12-01,4.26,-2.03,-1.54,4.9,0.0
2026-01-01,4.34,-2.06,-1.56,4.9,0.0
2026-02-01,4.32,-1.97,-1.27,4.9,0.0
2026-03-01,4.38,-2.06,-1.34,4.9,0.0
2026-04-01,4.32,-1.99,-0.79,4.9,0.0
2026-05-01,4.64,-2.38,-1.3,4.9,0.0
2026-06-01,4.6,-2.37,-1.27,4.9,0.0
2026-07-01,4.57,-2.36,-1.03,4.9,0.0
