Date,beta0,beta1,beta2,lambda,rmse
2004-10-01,5.31,-3.36,-1.51,2.6,0.0
2004-11-01,5.26,-3.25,-2.44,2.3,0.0
2004-12-01,5.13,-3.06,-2.77,2.2,0.0
2005-01-01,4.87,-2.8,-2.44,2.4,0.0
2005-02-01,4.71,-2.69,-1.82,2.6,0.0
2005-03-01,4.47,-2.47,-1.59,2.3,0.0
2005-04-01,4.72,-2.72,-1.71,2.3,0.0
2005-05-01,4.64,-2.63,-2.14,2.4,0.0
2005-06-01,4.42,-2.38,-2.63,2.1,0.01
2005-07-01,4.21,-2.13,-3.1,1.9,0.0
2005-08-01,4.27,-2.19,-2.7,2.1,0.0
2005-09-01,4.23,-2.16,-2.33,2.2,0.0
2005-10-01,4.11,-2.07,-1.99,2.6,0.0
2005-11-01,4.18,-2.13,-0.54,3.8,0.02
2005-12-01,4.18,-1.94,-0.0,3.9,0.03
2006-01-01,4.02,-1.64,0.01,4.4,0.03
2006-02-01,3.87,-1.44,0.0,3.9,0.03
2006-03-01,3.96,-1.49,-0.01,3.2,0.03
2006-04-01,4.02,-1.44,0.02,2.4,0.04
2006-05-01,4.33,-1.74,0.01,2.2,0.05
2006-06-01,4.44,-1.74,-0.01,2.6,0.05
2006-07-01,4.44,-1.61,-0.01,2.7,0.05
2006-08-01,4.41,-1.45,-0.01,2.6,0.06
2006-09-01,4.33,-1.19,0.0,4.0,0.06
2006-10-01,4.18,-0.88,-0.15,4.9,0.06
2006-11-01,4.03,-0.69,-0.01,4.9,0.05
2006-12-01,3.98,-0.52,-0.17,4.9,0.05
2007-01-01,4.02,-0.49,-0.16,4.9,0.04
2007-02-01,4.17,-0.56,-0.0,2.9,0.04
2007-03-01,4.24,-0.55,0.0,4.1,0.04
2007-04-01,4.33,-0.57,-0.53,4.9,0.03
2007-05-01,4.5,-0.63,-0.29,4.9,0.04
2007-06-01,4.51,-0.55,-0.0,4.9,0.05
2007-07-01,4.66,-0.77,0.01,1.2,0.05
2007-08-01,4.59,-0.66,-0.01,0.9,0.05
2007-09-01,4.76,-0.77,-0.45,4.5,0.02
2007-10-01,4.87,-0.98,-0.82,3.9,0.01
2007-11-01,4.86,-1.0,-0.42,4.6,0.02
2007-12-01,4.86,-0.92,-1.69,2.9,0.01
2008-01-01,4.96,-1.07,-1.2,3.3,0.02
2008-02-01,4.98,-1.05,-2.57,2.5,0.01
2008-03-01,5.04,-1.02,-4.13,1.9,0.01
2008-04-01,5.24,-1.24,-4.12,2.4,0.0
2008-05-01,5.2,-1.24,-2.55,2.8,0.01
2008-06-01,5.25,-1.28,-1.58,3.7,0.03
2008-07-01,4.94,-0.71,-0.0,3.5,0.06
2008-08-01,5.18,-0.89,-0.54,4.9,0.03
2008-09-01,5.18,-0.84,-2.23,3.0,0.02
2008-10-01,5.28,-1.01,-2.8,2.7,0.01
2008-11-01,4.83,-1.27,-3.71,1.2,0.06
2008-12-01,5.04,-2.63,-3.32,1.7,0.03
2009-01-01,4.29,-2.29,-3.19,1.1,0.08
