Date,3M,6M,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,11Y,12Y,13Y,14Y,15Y,16Y,17Y,18Y,19Y,20Y,30Y
2004-09-06,2.034172,2.12192,2.298838,2.641262,2.951578,3.223235,3.457222,3.657429,3.828505,3.974939,4.100712,4.20922,4.303296,4.385283,4.45711,4.520365,4.576354,4.626156,4.670667,4.710629,4.746664,4.779293,4.98868
2004-09-07,2.040893,2.138822,2.328891,2.679766,2.987293,3.252486,3.479518,3.673463,3.839294,3.981472,4.103839,4.209626,4.30152,4.381744,4.452132,4.514199,4.569196,4.61816,4.661955,4.701299,4.736794,4.768947,4.975495
2004-09-08,2.044384,2.148064,2.346666,2.706542,3.016998,3.282196,3.507894,3.699959,3.863753,4.003922,4.12439,4.228419,4.318705,4.397466,4.466525,4.527387,4.58129,4.629261,4.672151,4.710671,4.745415,4.776881,4.978894
2004-09-09,2.037111,2.128935,2.308988,2.646224,2.945649,3.206136,3.430628,3.623456,3.789113,3.931745,4.054972,4.161872,4.255025,4.336578,4.408313,4.471709,4.527995,4.578192,4.623156,4.663603,4.700133,4.733254,4.946545
2004-09-10,2.034645,2.111976,2.271566,2.589654,2.884699,3.146724,3.374729,3.571385,3.740559,3.886214,4.011975,4.120981,4.21589,4.298915,4.371898,4.436361,4.493569,4.544571,4.590244,4.631319,4.668411,4.702037,4.91853
2004-09-13,2.041363,2.131144,2.307186,2.637373,2.931473,3.188252,3.410319,3.601663,3.766501,3.908766,4.03193,4.138965,4.232379,4.314269,4.386382,4.450175,4.50686,4.557452,4.602797,4.643609,4.680485,4.713933,4.929555
2004-09-14,2.037903,2.124443,2.29586,2.621714,2.915005,3.172511,3.395882,3.588663,3.754878,3.89839,4.022654,4.13065,4.2249,4.307518,4.380269,4.444623,4.501805,4.552838,4.598577,4.639742,4.676938,4.710675,4.928157
2004-09-15,2.040883,2.126959,2.297686,2.622748,2.915615,3.172807,3.395869,3.588313,3.754161,3.897285,4.02115,4.128747,4.222607,4.304851,4.377246,4.441264,4.498131,4.548871,4.594338,4.635251,4.672212,4.705733,4.921745
2004-09-16,2.047758,2.135471,2.308354,2.634832,2.927106,3.18289,3.40429,3.595069,3.759353,3.901049,4.023628,4.130073,4.222901,4.304221,4.375786,4.439058,4.495252,4.545384,4.5903,4.630711,4.667216,4.70032,4.913589
2004-09-17,2.050293,2.126023,2.281755,2.591642,2.879662,3.136353,3.360508,3.554437,3.721681,3.865957,3.990714,4.098976,4.193318,4.275904,4.348538,4.412719,4.469696,4.520505,4.566015,4.606951,4.643922,4.677443,4.893322
2004-09-20,2.046296,2.123791,2.281191,2.590151,2.87506,3.128403,3.349658,3.541295,3.70681,3.84982,3.973666,4.081284,4.175176,4.257455,4.329883,4.393932,4.450828,4.501593,4.547085,4.58802,4.625003,4.658545,4.87471
2004-09-21,2.050189,2.130554,2.291793,2.603703,2.888546,3.140791,3.360755,3.551219,3.715771,3.858024,3.98129,4.088465,4.182021,4.264043,4.336274,4.400169,4.456944,4.507614,4.553028,4.5939,4.630831,4.664328,4.880268
2004-09-22,2.052665,2.13205,2.291219,2.598986,2.880112,3.129231,3.346642,3.53505,3.69795,3.838876,3.961068,4.06737,4.160211,4.24164,4.313375,4.376853,4.433273,4.483638,4.528788,4.56943,4.606159,4.639476,4.85433
2004-09-23,2.043347,2.107439,2.24383,2.526792,2.798287,3.04484,3.262857,3.4532,3.618512,3.76194,3.886561,3.995153,4.090125,4.173526,4.247082,4.312239,4.370206,4.421997,4.468461,4.510315,4.548162,4.582513,4.804375
2004-09-24,2.05845,2.131471,2.281093,2.578198,2.854775,3.102144,3.319032,3.507417,3.670473,3.811598,3.933984,4.040459,4.13345,4.215012,4.286868,4.350455,4.406976,4.457436,4.502676,4.543402,4.580211,4.613604,4.829018
2004-09-27,2.05567,2.124938,2.268372,2.557154,2.829084,3.074067,3.289943,3.478134,3.641475,3.783153,3.906233,4.013463,4.107226,4.189548,4.262134,4.326416,4.383589,4.43466,4.480468,4.521722,4.55902,4.592868,4.811382
2004-09-28,2.053061,2.122824,2.265591,2.551173,2.82141,3.067126,3.285461,3.476889,3.6435,3.788024,3.913308,4.022046,4.116663,4.199277,4.271701,4.335471,4.391879,4.442009,4.486764,4.526904,4.563063,4.595773,4.805108
2004-09-29,2.061801,2.138307,2.291128,2.587423,2.86133,3.107491,3.325002,3.515281,3.680833,3.824534,3.949252,4.05765,4.152107,4.234692,4.307177,4.371069,4.427635,4.477942,4.522883,4.563208,4.599548,4.632432,4.843015
2004-09-30,2.031314,2.11639,2.281661,2.59024,2.86743,3.113299,3.329645,3.519104,3.684609,3.829085,3.955282,4.065687,4.162507,4.24766,4.322805,4.389358,4.448526,4.501336,4.548658,4.591227,4.62967,4.664518,4.888623
2004-10-01,2.060936,2.1315,2.276508,2.568275,2.845806,3.099041,3.324627,3.52279,3.695513,3.845506,3.975643,4.088668,4.187065,4.273012,4.348379,4.414754,4.473476,4.525666,4.572266,4.614061,4.651711,4.685772,4.90375
2004-10-04,2.059474,2.137134,2.293546,2.599666,2.884031,3.139587,3.364847,3.561193,3.731321,3.878375,4.005486,4.115546,4.211123,4.294433,4.367363,4.431499,4.488172,4.538492,4.583385,4.623623,4.659851,4.692609,4.90203
2004-10-05,2.058885,2.131807,2.280236,2.57506,2.852482,3.103904,3.326839,3.522018,3.691712,3.838787,3.966194,4.07671,4.172824,4.256706,4.330211,4.394909,4.45212,4.502947,4.548314,4.588993,4.625631,4.658768,4.87075
2004-10-06,2.061839,2.133269,2.279477,2.571849,2.848189,3.099058,3.321582,3.516335,3.685543,3.832074,3.958898,4.068815,4.164333,4.247636,4.320588,4.384767,4.441492,4.49187,4.536822,4.57712,4.613406,4.646221,4.856062
2004-10-07,2.062147,2.132517,2.277637,2.570432,2.848801,3.102101,3.326921,3.52364,3.694443,3.842232,3.970033,4.080702,4.176799,4.260549,4.333851,4.398304,4.45525,4.505806,4.550906,4.591327,4.627718,4.660624,4.870987
2004-10-08,2.044806,2.101749,2.227286,2.500462,2.773488,3.027784,3.256038,3.4568,3.631479,3.782696,3.91343,4.026579,4.124773,4.21031,4.285148,4.350937,4.409055,4.460652,4.506682,4.54794,4.585089,4.618684,4.833559
2004-10-11,2.05499,2.109539,2.231585,2.501395,2.773875,3.029019,3.258747,3.461209,3.637608,3.790468,3.922723,4.037261,4.136711,4.22338,4.299237,4.365943,4.424888,4.477231,4.523936,4.565807,4.603514,4.637617,4.855812
2004-10-12,2.048719,2.096446,2.207868,2.464858,2.731156,2.983564,3.212326,3.414717,3.591487,3.744925,3.877845,3.99307,4.093201,4.180524,4.257002,4.324293,4.383785,4.436638,4.483817,4.526127,4.56424,4.59872,4.819476
2004-10-13,2.058014,2.108038,2.222985,2.483919,2.751566,3.003881,3.231775,3.43291,3.608255,3.760228,3.891714,4.005573,4.104424,4.190562,4.26595,4.33224,4.390818,4.442834,4.489249,4.530861,4.568335,4.60223,4.819112
2004-10-14,2.053923,2.098976,2.206728,2.460494,2.726095,2.978558,3.20742,3.409727,3.586203,3.739183,3.871539,3.986148,4.085646,4.172349,4.248233,4.314966,4.373941,4.426316,4.473057,4.514965,4.552711,4.586854,4.805394
2004-10-15,2.058406,2.09108,2.182802,2.425716,2.693215,2.951195,3.185599,3.39233,3.571965,3.727042,3.860703,3.976069,4.075964,4.162835,4.23875,4.305433,4.364314,4.416575,4.463195,4.504982,4.542612,4.576646,4.794445
