,beta0,beta1,beta2
0,4.120897564171446,-1.7822776518849381,-2.1342158178656625
1,4.121914365211506,-1.7818424673952236,-2.134220848885678
2,4.122928827609174,-1.7814174227041195,-2.1342253823378146
3,4.123940956743327,-1.781002281554318,-2.1342294674315347
4,4.124950757980472,-1.780596813193307,-2.1342331485094856
5,4.125958236674772,-1.7802007922451075,-2.1342364655288275
6,4.1269633981680744,-1.779813998585001,-2.1342394544949563
7,4.127966247789942,-1.7794362172171752,-2.1342421478523352
8,4.12896679085768,-1.7790672381552195,-2.134244574836669
9,4.1299650326763615,-1.7787068563054074,-2.1342467617922525
10,4.130960978538861,-1.778354871352696,-2.1342487324579285
11,4.131954633725876,-1.7780110876493826,-2.134250508224769
12,4.13294600350596,-1.7776753141063566,-2.1342521083682695
13,4.133935093135551,-1.777347364086883,-2.1342535502575775
14,4.134921907858994,-1.7770270553028633,-2.1342548495440328
15,4.135906452908572,-1.7767142097135111,-2.134256020331058
16,4.136888733504537,-1.776408653426391,-2.134257075327246
17,4.137868754855131,-1.7761102166007607,-2.134258025984311
18,4.138846522156619,-1.7758187333531676,-2.134258882621393
19,4.139822040593313,-1.7755340416652434,-2.134259654537067
20,4.140795315337603,-1.7752559832936479,-2.134260350110281
21,4.141766351549981,-1.7749844036821105,-2.134260976891304
22,4.1427351543790705,-1.7747191518755219,-2.134261541683684
23,4.143701728961653,-1.7744600804360269,-2.134262050618098
24,4.144666080422696,-1.774207045361072,-2.134262509218898
25,4.145628213875378,-1.7739599060033637,-2.1342629224640786
26,4.146588134421119,-1.77371852499269,-2.134263294839311
27,4.147545847149605,-1.7734827681595648,-2.134263630386633
28,4.148501357138815,-1.7732525044606515,-2.134263932748325
29,4.14945466945505,-1.773027605905923,-2.1342642052064456
