,beta0,beta1,beta2
2026-06-19,5.116855710429396,-3.0115121921751027,-1.9679083325396265
2026-06-22,5.126647922319641,-3.050712157790532,-2.0254507149067034
2026-06-23,5.13640079617721,-3.0888204528246286,-2.076882058082358
2026-06-24,5.1461144132431915,-3.1258632005956866,-2.1228449255331756
2026-06-25,5.155788883831432,-3.1618661741510987,-2.1639145109002498
2026-06-26,5.165424343731845,-3.1968547714254205,-2.200605680012553
2026-06-29,5.175020950985864,-3.2308539944144266,-2.233379278917303
2026-06-30,5.184578882996851,-3.2638884319276262,-2.262647784230476
2026-07-01,5.194098333941933,-3.295982245525993,-2.2887803641970828
2026-07-02,5.203579512455137,-3.3271591582915745,-2.3121074117562435
2026-07-03,5.2130226395545955,-3.3574424461115773,-2.332924604545903
2026-07-06,5.222427946789355,-3.386854931191856,-2.3514965410803232
2026-07-07,5.2317956745837355,-3.4154189775438857,-2.3680599972222622
2026-07-08,5.241126070759352,-3.4431564882154913,-2.3828268424899726
2026-07-09,5.250419389216927,-3.470088904059237,-2.3959866516320676
2026-07-10,5.259675888761754,-3.4962372038536063,-2.407709043221863
2026-07-13,5.268895832058308,-3.521621905611243,-2.41814577372297
2026-07-14,5.278079484700931,-3.5462630689257257,-2.427432612520216
2026-07-15,5.287227114388805,-3.570180298223838,-2.4356910207590188
2026-07-16,5.296338990194624,-3.5933927468042426,-2.4430296544603802
2026-07-17,5.305415381917413,-3.615919121555986,-2.449545710249236
2026-07-20,5.314456559510897,-3.6377776882615653,-2.4553261301254783
