,rate_unit,beta0,beta1,beta2
2026-06-19,decimal,0.045919288635148964,-0.02416250814307365,0.003967085188426313
2026-06-22,decimal,0.04595013710365373,-0.024163439037641024,0.003948579874693368
2026-06-23,decimal,0.04598077797866069,-0.024164365927235937,0.003930160824575489
2026-06-24,decimal,0.04601121265588751,-0.02416528882802733,0.003911827638609361
2026-06-25,decimal,0.04604144252167045,-0.024166207756119485,0.0038935799191805323
2026-06-26,decimal,0.046071468953027425,-0.024167122727552275,0.003875417270514853
2026-06-29,decimal,0.0461012933177206,-0.02416803375830143,0.003857339298669962
2026-06-30,decimal,0.04613091697431865,-0.024168940864278798,0.0038393456115268084
2026-07-01,decimal,0.046160341272258466,-0.024169844061332588,0.003821435818781215
2026-07-02,decimal,0.046189567551906605,-0.024170743365247625,0.0038036095319354778
2026-07-03,decimal,0.04621859714462022,-0.024171638791745605,0.0037858663642900067
2026-07-06,decimal,0.04624743137280759,-0.02417253035648535,0.0037682059309350037
2026-07-07,decimal,0.0462760715499883,-0.024173418075063045,0.003750627848742181
2026-07-08,decimal,0.04630451898085294,-0.0241743019630125,0.0037331317363565155
2026-07-09,decimal,0.04633277496132249,-0.02417518203580539,0.0037157172141880435
2026-07-10,decimal,0.0463608407786072,-0.024176058308851518,0.0036983839044036917
2026-07-13,decimal,0.04638871771126519,-0.02417693079749903,0.0036811314309191457
2026-07-14,decimal,0.04641640702926056,-0.0241777995170347,0.0036639594193907587
2026-07-15,decimal,0.04644390999402116,-0.024178664482684138,0.003646867497207496
2026-07-16,decimal,0.04647122785849597,-0.02417952570961206,0.003629855293482915
2026-07-17,decimal,0.046498361867212075,-0.024180383212922513,0.003612922439047186
2026-07-20,decimal,0.046525313256331254,-0.02418123700765912,0.0035960685664391456
